i_e_op,V_cell_op
1.81E-05,1.504750318
1.81E-05,1.504759716
1.82E-05,1.504769114
1.82E-05,1.504778512
1.82E-05,1.50478791
1.82E-05,1.504797308
1.83E-05,1.504806706
1.83E-05,1.504816104
1.83E-05,1.504825502
1.83E-05,1.5048349
1.84E-05,1.504844298
1.84E-05,1.504853696
1.84E-05,1.504863094
1.84E-05,1.504872491
1.85E-05,1.504881889
1.85E-05,1.504891287
1.85E-05,1.504900685
1.85E-05,1.504910083
1.86E-05,1.504919481
1.86E-05,1.504928879
1.86E-05,1.504938277
1.86E-05,1.504947675
1.87E-05,1.504957073
1.87E-05,1.504966471
1.87E-05,1.504975869
1.87E-05,1.504985267
1.88E-05,1.504994665
1.88E-05,1.505004063
1.88E-05,1.505013461
1.88E-05,1.505022859
1.89E-05,1.505032257
1.89E-05,1.505041655
1.89E-05,1.505051053
1.89E-05,1.505060451
1.90E-05,1.505069849
1.90E-05,1.505079247
1.90E-05,1.505088645
1.90E-05,1.505098043
1.91E-05,1.505107441
1.91E-05,1.505116839
1.91E-05,1.505126237
1.91E-05,1.505135635
1.92E-05,1.505145033
1.92E-05,1.505154431
1.92E-05,1.505163829
1.92E-05,1.505173227
1.93E-05,1.505182625
1.93E-05,1.505192023
1.93E-05,1.505201421
1.93E-05,1.505210819
1.94E-05,1.505220217
1.94E-05,1.505229615
1.94E-05,1.505239013
1.94E-05,1.505248411
1.95E-05,1.505257809
1.95E-05,1.505267207
1.95E-05,1.505276605
1.96E-05,1.505286003
1.96E-05,1.505295401
1.96E-05,1.505304799
1.96E-05,1.505314197
1.97E-05,1.505323595
1.97E-05,1.505332993
1.97E-05,1.505342392
1.97E-05,1.50535179
1.98E-05,1.505361188
1.98E-05,1.505370586
1.98E-05,1.505379984
1.98E-05,1.505389382
1.99E-05,1.50539878
1.99E-05,1.505408178
1.99E-05,1.505417576
1.99E-05,1.505426974
2.00E-05,1.505436372
2.00E-05,1.50544577
2.00E-05,1.505455168
2.01E-05,1.505464566
2.01E-05,1.505473964
2.01E-05,1.505483362
2.01E-05,1.50549276
2.02E-05,1.505502158
2.02E-05,1.505511556
2.02E-05,1.505520954
2.02E-05,1.505530353
2.03E-05,1.505539751
2.03E-05,1.505549149
2.03E-05,1.505558547
2.04E-05,1.505567945
2.04E-05,1.505577343
2.04E-05,1.505586741
2.04E-05,1.505596139
2.05E-05,1.505605537
2.05E-05,1.505614935
2.05E-05,1.505624333
2.05E-05,1.505633731
2.06E-05,1.505643129
2.06E-05,1.505652528
2.06E-05,1.505661926
2.07E-05,1.505671324
2.07E-05,1.505680722
2.07E-05,1.50569012
2.07E-05,1.505699518
2.08E-05,1.505708916
2.08E-05,1.505718314
2.08E-05,1.505727712
2.08E-05,1.50573711
2.09E-05,1.505746508
2.09E-05,1.505755907
2.09E-05,1.505765305
2.10E-05,1.505774703
2.10E-05,1.505784101
2.10E-05,1.505793499
