i_e_op,V_cell_op
1.77E-05,1.504584162
1.77E-05,1.504593564
1.77E-05,1.504602966
1.78E-05,1.504612368
1.78E-05,1.50462177
1.78E-05,1.504631172
1.78E-05,1.504640574
1.79E-05,1.504649976
1.79E-05,1.504659378
1.79E-05,1.50466878
1.79E-05,1.504678182
1.80E-05,1.504687584
1.80E-05,1.504696986
1.80E-05,1.504706388
1.80E-05,1.50471579
1.80E-05,1.504725192
1.81E-05,1.504734594
1.81E-05,1.504743996
1.81E-05,1.504753398
1.81E-05,1.5047628
1.82E-05,1.504772202
1.82E-05,1.504781604
1.82E-05,1.504791007
1.82E-05,1.504800409
1.83E-05,1.504809811
1.83E-05,1.504819213
1.83E-05,1.504828615
1.83E-05,1.504838017
1.84E-05,1.504847419
1.84E-05,1.504856821
1.84E-05,1.504866223
1.84E-05,1.504875626
1.85E-05,1.504885028
1.85E-05,1.50489443
1.85E-05,1.504903832
1.85E-05,1.504913234
1.86E-05,1.504922636
1.86E-05,1.504932039
1.86E-05,1.504941441
1.86E-05,1.504950843
1.87E-05,1.504960245
1.87E-05,1.504969647
1.87E-05,1.50497905
1.87E-05,1.504988452
1.88E-05,1.504997854
1.88E-05,1.505007256
1.88E-05,1.505016659
1.88E-05,1.505026061
1.89E-05,1.505035463
1.89E-05,1.505044865
1.89E-05,1.505054268
1.89E-05,1.50506367
1.90E-05,1.505073072
1.90E-05,1.505082475
1.90E-05,1.505091877
1.90E-05,1.505101279
1.91E-05,1.505110682
1.91E-05,1.505120084
1.91E-05,1.505129486
1.91E-05,1.505138889
1.92E-05,1.505148291
1.92E-05,1.505157693
1.92E-05,1.505167096
1.92E-05,1.505176498
1.93E-05,1.5051859
1.93E-05,1.505195303
1.93E-05,1.505204705
1.93E-05,1.505214108
1.94E-05,1.50522351
1.94E-05,1.505232912
1.94E-05,1.505242315
1.94E-05,1.505251717
1.95E-05,1.50526112
1.95E-05,1.505270522
1.95E-05,1.505279925
1.96E-05,1.505289327
1.96E-05,1.50529873
1.96E-05,1.505308132
1.96E-05,1.505317535
1.97E-05,1.505326937
1.97E-05,1.50533634
1.97E-05,1.505345742
1.97E-05,1.505355145
1.98E-05,1.505364547
1.98E-05,1.50537395
1.98E-05,1.505383352
1.98E-05,1.505392755
1.99E-05,1.505402157
1.99E-05,1.50541156
1.99E-05,1.505420962
1.99E-05,1.505430365
2.00E-05,1.505439768
2.00E-05,1.50544917
2.00E-05,1.505458573
2.01E-05,1.505467975
2.01E-05,1.505477378
2.01E-05,1.505486781
2.01E-05,1.505496183
2.02E-05,1.505505586
2.02E-05,1.505514989
2.02E-05,1.505524391
2.02E-05,1.505533794
2.03E-05,1.505543196
2.03E-05,1.505552599
2.03E-05,1.505562002
2.04E-05,1.505571405
2.04E-05,1.505580807
2.04E-05,1.50559021
2.04E-05,1.505599613
2.05E-05,1.505609015
2.05E-05,1.505618418
2.05E-05,1.505627821
2.05E-05,1.505637224
2.06E-05,1.505646626
2.06E-05,1.505656029
2.06E-05,1.505665432
2.07E-05,1.505674835
2.07E-05,1.505684237
2.07E-05,1.50569364
2.07E-05,1.505703043
2.08E-05,1.505712446
2.08E-05,1.505721849
2.08E-05,1.505731251
2.08E-05,1.505740654
2.09E-05,1.505750057
2.09E-05,1.50575946
2.09E-05,1.505768863
2.10E-05,1.505778266
2.10E-05,1.505787669
2.10E-05,1.505797071
2.10E-05,1.505806474
2.11E-05,1.505815877
2.11E-05,1.50582528
2.11E-05,1.505834683
2.12E-05,1.505844086
2.12E-05,1.505853489
2.12E-05,1.505862892
2.12E-05,1.505872295
2.13E-05,1.505881698
2.13E-05,1.505891101
2.13E-05,1.505900504
2.14E-05,1.505909907
2.14E-05,1.50591931
2.14E-05,1.505928713
2.14E-05,1.505938116
2.15E-05,1.505947519
2.15E-05,1.505956922
2.15E-05,1.505966325
2.16E-05,1.505975728
2.16E-05,1.505985131
2.16E-05,1.505994534
2.16E-05,1.506003937
2.17E-05,1.50601334
2.17E-05,1.506022743
2.17E-05,1.506032146
2.18E-05,1.506041549
2.18E-05,1.506050952
2.18E-05,1.506060355
2.18E-05,1.506069758
2.19E-05,1.506079161
2.19E-05,1.506088565
2.19E-05,1.506097968
2.20E-05,1.506107371
2.20E-05,1.506116774
2.20E-05,1.506126177
2.20E-05,1.50613558
2.21E-05,1.506144984
2.21E-05,1.506154387
2.21E-05,1.50616379
2.22E-05,1.506173193
2.22E-05,1.506182596
2.22E-05,1.506192
2.23E-05,1.506201403
2.23E-05,1.506210806
2.23E-05,1.506220209
2.23E-05,1.506229612
2.24E-05,1.506239016
2.24E-05,1.506248419
2.24E-05,1.506257822
2.25E-05,1.506267226
2.25E-05,1.506276629
2.25E-05,1.506286032
2.26E-05,1.506295435
2.26E-05,1.506304839
2.26E-05,1.506314242
2.26E-05,1.506323645
2.27E-05,1.506333049
2.27E-05,1.506342452
2.27E-05,1.506351856
2.28E-05,1.506361259
2.28E-05,1.506370662
2.28E-05,1.506380066
2.29E-05,1.506389469
2.29E-05,1.506398872
2.29E-05,1.506408276
2.30E-05,1.506417679
2.30E-05,1.506427083
2.30E-05,1.506436486
2.30E-05,1.50644589
2.31E-05,1.506455293
2.31E-05,1.506464697
2.31E-05,1.5064741
2.32E-05,1.506483504
2.32E-05,1.506492907
2.32E-05,1.506502311
2.33E-05,1.506511714
2.33E-05,1.506521118
2.33E-05,1.506530521
2.34E-05,1.506539925
2.34E-05,1.506549328
2.34E-05,1.506558732
2.34E-05,1.506568135
2.35E-05,1.506577539
2.35E-05,1.506586942
2.35E-05,1.506596346
2.36E-05,1.50660575
2.36E-05,1.506615153
2.36E-05,1.506624557
2.37E-05,1.50663396
2.37E-05,1.506643364
2.37E-05,1.506652768
2.38E-05,1.506662171
2.38E-05,1.506671575
2.38E-05,1.506680979
2.39E-05,1.506690382
2.39E-05,1.506699786
2.39E-05,1.50670919
2.40E-05,1.506718594
2.40E-05,1.506727997
2.40E-05,1.506737401
2.40E-05,1.506746805
2.41E-05,1.506756208
2.41E-05,1.506765612
2.41E-05,1.506775016
2.42E-05,1.50678442
2.42E-05,1.506793824
2.42E-05,1.506803227
2.43E-05,1.506812631
2.43E-05,1.506822035
2.43E-05,1.506831439
2.44E-05,1.506840843
2.44E-05,1.506850246
2.44E-05,1.50685965
2.45E-05,1.506869054
2.45E-05,1.506878458
2.45E-05,1.506887862
2.46E-05,1.506897266
2.46E-05,1.50690667
2.46E-05,1.506916073
2.47E-05,1.506925477
2.47E-05,1.506934881
2.47E-05,1.506944285
2.48E-05,1.506953689
2.48E-05,1.506963093
2.48E-05,1.506972497
2.49E-05,1.506981901
2.49E-05,1.506991305
2.49E-05,1.507000709
2.50E-05,1.507010113
2.50E-05,1.507019517
2.50E-05,1.507028921
2.51E-05,1.507038325
2.51E-05,1.507047729
2.51E-05,1.507057133
2.52E-05,1.507066537
2.52E-05,1.507075941
2.52E-05,1.507085345
2.53E-05,1.507094749
2.53E-05,1.507104153
2.53E-05,1.507113558
2.54E-05,1.507122962
2.54E-05,1.507132366
2.54E-05,1.50714177
2.55E-05,1.507151174
2.55E-05,1.507160578
2.55E-05,1.507169982
2.56E-05,1.507179386
2.56E-05,1.507188791
2.56E-05,1.507198195
2.57E-05,1.507207599
2.57E-05,1.507217003
2.57E-05,1.507226407
2.58E-05,1.507235812
2.58E-05,1.507245216
2.58E-05,1.50725462
2.59E-05,1.507264024
2.59E-05,1.507273429
2.60E-05,1.507282833
2.60E-05,1.507292237
2.60E-05,1.507301641
2.61E-05,1.507311046
2.61E-05,1.50732045
2.61E-05,1.507329854
2.62E-05,1.507339259
2.62E-05,1.507348663
2.62E-05,1.507358067
2.63E-05,1.507367472
